#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
13010   0.000    0.000 2019 12 02 21 00 207   1.7    MM   MM  MM   MM  MM     MM    MM  27.7  28.8    MM   MM     MM
15002   0.000  -10.000 2019 12 02 22 00  MM    MM    MM   MM  MM   MM  MM     MM    MM  26.9  27.2    MM   MM     MM
22101  37.24   126.02  2019 12 02 23 00 240   4.0    MM   MM  MM   MM  MM 1024.8    MM   5.1  12.7    MM   MM     MM
22102  34.79   125.78  2019 12 02 23 00 310   7.0    MM   MM  MM   MM  MM 1026.3    MM   8.3  12.7    MM   MM     MM
22103  34.00   127.50  2019 12 02 23 00 320   8.0    MM   MM  MM   MM  MM 1028.0    MM   8.4  17.4    MM   MM     MM
22104  34.77   128.90  2019 12 02 23 00   0   2.0    MM   MM  MM   MM  MM 1026.5    MM   5.6  16.5    MM   MM     MM
22105  37.54   130.00  2019 12 02 23 00 320  10.0    MM   MM  MM   MM  MM 1022.5    MM   4.6  18.9    MM   MM     MM
22106  36.35   129.78  2019 12 02 23 00 300   5.0    MM   MM  MM   MM  MM 1025.4    MM   4.5  19.2    MM   MM     MM
22108  36.25   125.75  2019 12 02 23 00 290   4.0    MM   MM  MM   MM  MM 1025.8    MM   5.6  13.2    MM   MM     MM
23004   0.000   90.000 2019 12 02 21 00 237   4.8    MM   MM  MM   MM  MM     MM    MM  26.2  28.2    MM   MM     MM
31003  -8.000  -30.000 2019 12 02 23 00  64   5.6    MM   MM  MM   MM  MM     MM    MM  26.7  27.4    MM   MM     MM
31004 -14.000  -32.000 2019 12 02 23 00  55   5.9    MM   MM  MM   MM  MM     MM    MM  26.2  27.5    MM   MM     MM
31005 -19.000  -34.000 2019 12 02 22 00 290   6.1    MM   MM  MM   MM  MM 1010.7    MM  27.1  26.8    MM   MM     MM
32ST0 -22.462  -85.643 2019 12 02 22 30 140   8.0    MM   MM  MM   MM  MM 1019.6    MM  19.0  19.0  14.2   MM     MM
41002  31.892  -74.930 2019 12 02 23 30 290  13.0  18.0   MM  MM   MM  MM 1006.2    MM  17.0    MM   8.1   MM     MM
41004  32.501  -79.099 2019 12 02 23 20 330  11.0  15.0   MM  MM   MM  MM 1010.6    MM    MM  22.8    MM   MM     MM
41008  31.400  -80.868 2019 12 02 22 50 320  11.0  14.0  1.1   4  3.7 304 1012.5  +2.2  12.8  17.5   2.6   MM     MM
41009  28.508  -80.185 2019 12 02 23 20 280   8.0  12.0   MM  MM   MM  MM 1013.3    MM  16.7  25.2   7.1   MM     MM
41010  28.878  -78.485 2019 12 02 23 30 300  12.0  15.0   MM  MM   MM  MM 1012.0    MM  17.8    MM   9.8   MM     MM
41013  33.436  -77.743 2019 12 02 23 20 310  14.0  18.0   MM  MM   MM  MM 1008.7    MM  12.7  18.4   2.7   MM     MM
41024  33.837  -78.477 2019 12 02 23 08 300   8.0  10.0   MM  MM   MM  MM 1009.9    MM  10.1  14.1    MM   MM     MM
41025  35.025  -75.363 2019 12 02 23 20 300  12.0  18.0   MM  MM   MM  MM 1003.6    MM  11.7  24.2   5.2   MM     MM
41026  12.000  -38.000 2019 12 02 22 00  39   6.8    MM   MM  MM   MM  MM     MM    MM  26.5    MM    MM   MM     MM
41033  32.279  -80.406 2019 12 02 23 08 290   7.0   9.0   MM  MM   MM  MM 1012.9    MM  12.2  15.6    MM   MM     MM
41037  33.988  -77.362 2019 12 02 23 08 310  12.0  15.0   MM  MM   MM  MM 1007.7    MM  11.7  18.3    MM   MM     MM
41038  34.141  -77.715 2019 12 02 23 08 310   9.0  12.0   MM  MM   MM  MM 1008.0    MM  10.4  14.9    MM   MM     MM
41040  14.554  -53.045 2019 12 02 23 30  70   9.0  11.0   MM  MM   MM  MM 1015.2    MM  27.8    MM  23.8   MM     MM
41043  21.124  -64.830 2019 12 02 23 20 160   6.0   8.0   MM  MM   MM  MM     MM    MM  27.6    MM  23.4   MM     MM
41044  21.582  -58.630 2019 12 02 23 30 110   5.0   7.0   MM  MM   MM  MM 1017.9    MM  27.3    MM  22.6   MM     MM
41046  23.822  -68.384 2019 12 02 23 30 190   7.0  10.0   MM  MM   MM  MM 1013.4    MM    MM  27.2    MM   MM     MM
41047  27.514  -71.494 2019 12 02 23 30 240  10.0  13.0   MM  MM   MM  MM 1008.3    MM  25.3  24.5  20.9   MM     MM
41048  31.838  -69.585 2019 12 02 23 20 250  15.0  18.0   MM  MM   MM  MM 1001.2    MM    MM  23.9    MM   MM     MM
41049  27.490  -62.938 2019 12 02 23 30 170   9.0  11.0   MM  MM   MM  MM 1016.0    MM    MM  25.7    MM   MM     MM
41052  18.249  -64.763 2019 12 02 23 00 150   5.0   6.0  0.8   5   MM 118 1013.9  +1.3  26.6  28.5    MM   MM     MM
41053  18.474  -66.099 2019 12 02 23 00 100   6.0   7.0  2.2  13   MM  10 1013.6  +1.6  28.0  29.0    MM   MM     MM
41056  18.261  -65.464 2019 12 02 23 00 140   3.0   4.0  1.3  13   MM  16 1013.6  +1.1  26.8  28.4    MM   MM     MM
41064  34.207  -76.949 2019 12 02 23 08 320  13.0  20.0   MM  MM   MM  MM 1006.7    MM  12.0  19.9    MM   MM     MM
41108  33.721  -78.015 2019 12 02 23 00  MM    MM    MM  1.6   5  4.5 265     MM    MM    MM  14.9    MM   MM     MM
41110  34.141  -77.717 2019 12 02 23 10  MM    MM    MM  0.8   9   MM  MM     MM    MM    MM  14.9    MM   MM     MM
41112  30.709  -81.292 2019 12 02 23 30  MM    MM    MM  0.9   4  3.4 329     MM    MM    MM  18.9    MM   MM     MM
41113  28.400  -80.534 2019 12 02 23 30  MM    MM    MM  0.5  14  3.5  85     MM    MM    MM  22.5    MM   MM     MM
41114  27.550  -80.217 2019 12 02 23 30  MM    MM    MM  1.1   5  4.1 358     MM    MM    MM  25.2    MM   MM     MM
41115  18.376  -67.280 2019 12 02 23 30  MM    MM    MM  2.3  13 10.2   5     MM    MM    MM  29.0    MM   MM     MM
41117  30.000  -81.080 2019 12 02 23 30  MM    MM    MM  1.1   5  3.9 353     MM    MM    MM  20.0    MM   MM     MM
41119  33.842  -78.483 2019 12 02 22 50  MM    MM    MM  0.7   3  3.6 238     MM    MM    MM  14.0    MM   MM     MM
41159  34.213  -76.946 2019 12 02 23 30  MM    MM    MM  2.2   6  5.4 281     MM    MM    MM  19.7    MM   MM     MM
41NT0  14.824  -51.017 2019 12 02 22 30  90   7.0    MM   MM  MM   MM  MM 1014.5    MM  27.2    MM  23.2   MM     MM
42001  25.961  -89.650 2019 12 02 23 30 340   9.0  12.0   MM  MM   MM  MM 1019.5    MM  19.0  24.1  13.8   MM     MM
42002  26.055  -93.646 2019 12 02 23 30 350   6.0   8.0   MM  MM   MM  MM 1021.8    MM  19.1  25.6  12.6   MM     MM
